Unnamed: 0,brand,name,price,image_name,brand_encoded
1400,Daniel Wellington,Classic Cornwall 36mm, $289.00,1400.jpg,9
1606,TONY+WILL,Lunar, $99.95,1606.jpg,53
1074,Nixon,Re-Run Watch, $199.99,1074.jpg,35
500,Jag,Earl Men's Watch, $169.00,500.jpg,23
1235,Fossil,Fossil Kerrigan Rose Gold Watch BQ3206, $289.00,1235.jpg,15
2448,Daniel Wellington,Petite Cornwall 32mm, $249.00,2448.jpg,9
1549,Daniel Wellington,Petite Unitone 28mm, $299.00,1549.jpg,9
1263,Daniel Wellington,Quadro Rouge Pearl, $319.00,1263.jpg,9
1030,August Berg,Serenity 32mm Grey Watch, $299.95,1030.jpg,1
1098,Skagen,Signatur Silver-Tone Analogue Watch SKW2759, $249.00,1098.jpg,47
378,DKNY,Parsons Rose Gold-Tone Analogue Watch NY2947, $299.00,378.jpg,7
13,Superdry,Urban Red Watch, $59.00,13.jpg,49
1120,Tissot,Classic Dream, $400.00,1120.jpg,57
484,Vivienne Westwood,Kensington Watch, $999.00,484.jpg,61
1771,Swatch,Clearly Red Stripped, $115.00,1771.jpg,50
1505,adidas Originals,Edition Two, $259.95,1505.jpg,62
2520,DUKUDU,Magnus 45mm, $229.00,2520.jpg,8
1804,Skagen,Gen 5 Falster 3 Pink Smartwatch SKT5205, $499.00,1804.jpg,47
2242,Daniel Wellington,Petite Melrose Lumine 28mm, $289.00,2242.jpg,9
2317,Missguided,Missguided Iridescent Tiger, $179.95,2317.jpg,31
1229,Missoni,Joyful 34mm Analogue Watch," $1,500.00",1229.jpg,32
2348,Mido,Baroncelli Prisma," $1,700.00",2348.jpg,30
2295,Tissot,Le Locle Automatic Lady 29mm," $1,400.00",2295.jpg,57
2130,Guess,Dynasty, $599.95,2130.jpg,22
2238,Daniel Wellington,Quadro Lumine Pearl, $379.00,2238.jpg,9
1598,Garmin,Instinct Solar, $799.00,1598.jpg,20
1652,TONY+WILL,Classic, $99.95,1652.jpg,53
1390,iConnect By Timex,iConnect Kids Active Camo, $89.95,1390.jpg,63
2466,TONY+WILL,Classic, $89.95,2466.jpg,53
1351,Nixon,Siren SS, $199.99,1351.jpg,35
97,Nixon,51-30 Chrono Watch, $679.99,97.jpg,35
348,Status Anxiety,Repeat After Me Watch, $99.95,348.jpg,48
753,Reflex Active,Series 06 Smart Watch, $139.00,753.jpg,42
2037,Furla,Furla Small Logo, $349.00,2037.jpg,17
697,Reflex Active,Amelia Austin Smart Watch, $159.00,697.jpg,42
387,Tissot,PRX Powermatic 80," $1,050.00",387.jpg,57
776,Michael Hill,Men's Chronograph Watch in Brown Tone Stainless Steel and Brown Leather, $449.00,776.jpg,28
1382,Guess,Big Reveal, $499.95,1382.jpg,22
305,Nixon,Corporal SS Watch, $299.99,305.jpg,35
970,Diesel,Master Chief Black Analogue Watch DZ1907, $399.00,970.jpg,10
1538,Ted Baker,Lilabel, $295.00,1538.jpg,55
1921,Cluse,Boho Chic Leather, $149.00,1921.jpg,6
754,Jag,Malcolm Men's Watch, $169.00,754.jpg,23
2141,Olivia Burton,Big Dial, $179.00,2141.jpg,36
36,Police,Vibe Men's Watch, $399.00,36.jpg,40
454,Tissot,PRX Powermatic 80," $1,000.00",454.jpg,57
618,Georg Jensen,Koppel Wrist Watch 32mm," $1,195.00",618.jpg,21
1040,Nixon,Heat Watch, $224.99,1040.jpg,35
604,Police,Neist Men's Watch, $319.00,604.jpg,40
1358,Rosefield,The Octagon, $189.95,1358.jpg,44
423,Tissot,Gentleman Automatic Silicium," $1,250.00",423.jpg,57
430,Bellroy,Apple Watch Strap - Large, $99.00,430.jpg,3
1094,Tissot,Le Locle Powermatic 80, $950.00,1094.jpg,57
109,Police,Malawi Men's Watch, $279.00,109.jpg,40
212,Jag,Bernard Unisex Watch, $119.00,212.jpg,23
1122,August Berg,Morris & Co 38mm Strawberry Thief Watch, $379.95,1122.jpg,1
2360,Missguided,Missguided Grey Pearlised, $99.95,2360.jpg,31
349,Fossil,Carlie Rose Gold-Tone Analogue Watch ES4433, $199.00,349.jpg,15
160,Doxie Watches,Sophie 40mm Watch, $189.00,160.jpg,11
1354,Nixon,Sentry SS, $349.99,1354.jpg,35
2383,Missguided,Missguided Gold Expander, $139.95,2383.jpg,31
342,Diesel,Timeframe Black Chronograph Watch DZ4543, $449.00,342.jpg,10
701,Chuchka,Rosetta Watch Strap Light Tortoise Shell, $59.00,701.jpg,5
1175,Armani Exchange,Silver-Tone Men's Analogue Watch, $299.00,1175.jpg,0
569,Doxie Watches,Oscar 40mm Watch, $189.00,569.jpg,11
1600,Guess,Guess Apple Strap - Quattro G Leather, $99.95,1600.jpg,22
1445,Rosefield,The Mini Boxy, $189.95,1445.jpg,44
2315,Mido,Baroncelli Gent," $1,300.00",2315.jpg,30
2544,Missoni,Optic Zigzag," $1,195.00",2544.jpg,32
2148,TIMEX,Timex City, $179.95,2148.jpg,52
1424,Rosefield,The Mini Boxy, $179.95,1424.jpg,44
445,Bellroy,Apple Watch Strap - Large, $99.00,445.jpg,3
148,Michael Kors,Petite Darci Women's Analogue Watch, $439.00,148.jpg,29
1821,TIMEX,TIMEX UFC PHANTOM, $299.95,1821.jpg,52
2203,Guess,Anna, $249.95,2203.jpg,22
2248,Maxum,Button Tea, $79.00,2248.jpg,27
436,Bellroy,Apple Watch Strap - Large, $99.00,436.jpg,3
2153,Tissot,T-Wave, $575.00,2153.jpg,57
938,Fossil,Carlie Mini Gold-Tone Analogue Watch, $249.00,938.jpg,15
1053,Fossil,Neutra Men's Analogue Watch, $429.00,1053.jpg,15
1850,Skagen,Falster 3 Blue Smartwatch, $499.00,1850.jpg,47
1277,Swatch,PURPLE RINGS YELLOW, $135.00,1277.jpg,50
